"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,38,25.6,0
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.5,12.1,0.336734693877551
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,21.8,7.8,0.571428571428571
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,32.2,21.1,0.421768707482993
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,37.3,24.5,0.0272108843537415
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,35.7,31.3,0.0408163265306122
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,35.9,31,0.476190476190476
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,34.1,0.448979591836735
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,37.6,0.360544217687075
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.5,30.4,0.591836734693878
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38,31.4,0.948979591836735
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,42.7,41.5,0.319727891156463
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.2,47.1,0.547619047619048
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,42.3,38.3,0.459183673469388
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.6,40,0.670068027210884
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.4,34.6,0.374149659863946
"17",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.1,16.6,0.612244897959184
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,35.9,26.6,0.350340136054422
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.3,41.2,0.0408163265306122
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.3,18.1,0.554421768707483
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,16.2,-1.1,0.557823129251701
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.3,-1.9,0.58843537414966
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,19,3.3,0.996598639455782
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.4,16.6,0.602040816326531
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,21.7,4.7,0.163265306122449
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,27.3,10.8,0.428571428571429
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35.4,34.9,0.547619047619048
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.1,44,0.394557823129252
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,40.3,0.717687074829932
"30",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.1,15.5,0.656462585034014
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,27.6,10.4,0.520408163265306
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.7,24.5,0.217687074829932
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,29,16.9,0.585034013605442
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,28.7,16.6,0.629251700680272
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.8,30.4,0.629251700680272
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,29.4,13.4,0.493197278911565
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.2,25.8,0.0748299319727891
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.7,14.7,0.0646258503401361
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.4,32,0.319727891156463
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.4,36.6,0.397959183673469
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,36.1,25.2,0.642857142857143
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,36.6,29.3,0.850340136054422
"43",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38.6,33.2,0.758503401360544
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,35.8,0.231292517006803
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.9,25.6,0.224489795918367
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,24.6,7.6,0.0578231292517007
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,36.7,25.4,0.326530612244898
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.7,28.9,0.438775510204082
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,30.6,14.1,0.397959183673469
"50",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,35.4,25.4,0.510204081632653
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,36.3,29.8,0.476190476190476
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,42.6,40.7,0.153061224489796
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,37.5,30.4,0.370748299319728
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35,26.7,0.530612244897959
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,44.1,41,0.574829931972789
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,41.4,38.9,0.462585034013605
"57",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,39.3,34.2,0.755102040816326
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.2,29.1,0.316326530612245
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,37.4,29.3,0.41156462585034
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,37,26.4,0.73469387755102
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,38.5,29.8,0.496598639455782
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,39.1,34.2,0.319727891156463
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,35.2,0.523809523809524
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,31.7,0.639455782312925
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39,31.7,0.115646258503401
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,39.9,34.7,0.479591836734694
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,46,43.9,0.564625850340136
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,46.3,41.1,0.86734693877551
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,37,25.3,0.598639455782313
"70",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,31.2,13.7,0.768707482993197
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,37.1,22,0.476190476190476
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,34.8,21.5,0.153061224489796
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,32.1,15.5,0.82312925170068
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,35.5,0.605442176870748
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,36.5,25.7,0.540816326530612
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,38.3,29.9,0.431972789115646
"77",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,34.3,27.6,0.758503401360544
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,38.5,21.7,0.363945578231293
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,39.1,23.3,0.238095238095238
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,38.1,29.8,0.397959183673469
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,28.7,0.149659863945578
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,41.7,30.3,0.204081632653061
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,42.5,34.5,0.571428571428571
"84",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,45.2,34.3,0.472789115646259
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,44.5,35.1,0.448979591836735
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,43,38.1,0.153061224489796
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47,42.9,0.333333333333333
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.6,18.8,0.19047619047619
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,42.6,15.7,0.513605442176871
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39,18.8,0.629251700680272
