"","day","mo","temp","dewp","max","min","NUM_COLLISIONS"
"1283",1,1,38.2,27.4,52,34,0.368613138686131
"1284",2,1,27.7,18.1,43,24.1,0.510948905109489
"1285",3,1,33.5,19.3,45,21,0.456204379562044
"1286",4,1,40.5,29.9,46.9,24.1,0.153284671532847
"1287",5,1,41.3,33.1,48,30.9,0.372262773722628
"1288",6,1,45.9,38.6,50,30.9,0.197080291970803
"1290",1,1,43.2,30.5,57.9,35.1,0.656934306569343
"1291",2,1,33,19.1,50,19.9,0.5
"1292",3,1,32.9,18.2,43,19.9,0.383211678832117
"1293",4,1,28.9,14.7,37.9,27,0.354014598540146
"1294",5,1,36.5,25.6,45,24.1,0.81021897810219
"1295",6,1,45.7,42.5,51.1,39.9,0.22992700729927
"1298",2,1,25.5,4.8,37.9,21.9,0.591240875912409
"1299",3,1,29.4,11.2,37,21.9,0.448905109489051
"1300",4,1,30.9,10.8,37,25,0.605839416058394
"1301",5,1,28,11.8,35.1,21.9,0.737226277372263
"1303",7,1,34.5,27.9,37.9,33.1,0.062043795620438
"1304",1,1,33.5,21.2,37.9,30,0.576642335766423
"1305",2,1,42.2,36.4,48.2,28.9,0.854014598540146
"1306",3,1,43,36.7,48,36,0.62043795620438
"1307",4,1,35,24.4,46,23,0.660583941605839
"1308",5,1,41.3,36.8,45,23,0.529197080291971
"1309",6,1,37.8,27.3,45,34,0.35036496350365
"1310",7,1,45,39,50,34,0.116788321167883
"1311",1,2,47.6,43.1,52,43,0.788321167883212
"1312",2,2,43.2,32.2,52,34,0.77007299270073
"1313",3,2,42.6,37.8,51.1,30.9,0.288321167883212
"1314",4,2,51.6,49.4,54,35.1,0.397810218978102
"1315",5,2,40.8,38.4,54,32,0.39051094890511
"1316",6,2,32.3,23.3,45,28,0.193430656934307
"1318",1,2,36.4,31.4,44.1,32,0.00364963503649635
"1319",2,2,33.1,27.8,42.1,30.9,0.259124087591241
"1320",3,2,33.5,28,37.9,28,0.135036496350365
"1321",4,2,31.5,21.3,37.9,23,0.445255474452555
"1322",5,2,19.3,4.2,36,15.1,0.467153284671533
"1326",2,2,44.5,41.7,50,36,0.41970802919708
"1327",3,2,41.5,35.8,50,35.1,0.0912408759124088
"1328",4,2,36,23.1,44.1,32,0.335766423357664
"1329",5,2,34.7,21.7,39.9,32,0.116788321167883
"1330",6,2,42.8,36.4,48.9,32,0.200729927007299
"1332",1,2,41.8,31.7,54,32,0.41970802919708
"1333",2,2,36.5,26.3,45,28.9,0.448905109489051
"1334",3,2,46.9,43.7,53.6,41,0.583941605839416
"1335",4,2,51,47.1,57.2,45,0.594890510948905
"1338",7,2,42.8,31.7,48.9,25,0.0328467153284672
"1339",1,2,47.8,40.9,54,39.9,0.423357664233577
"1340",2,3,43.2,29,54,39,0.591240875912409
"1341",3,3,45.7,38.8,52,37,0.558394160583942
"1342",4,3,29.9,11.8,36,25,0.456204379562044
"1343",5,3,33.9,26.2,39,25,0.675182481751825
"1344",6,3,34.8,22.6,39,30,0.368613138686131
"1345",7,3,33.2,18.7,41,23,0
"1346",1,3,36.8,26.1,46,23,0.259124087591241
"1347",2,3,44.4,36.5,51.1,26.1,0.481751824817518
"1348",3,3,46.4,41.8,55,37.9,0.583941605839416
"1349",4,3,49.6,43.8,62.1,41,0.470802919708029
"1350",5,3,46.8,42.9,62.1,39.9,0.627737226277372
"1351",6,3,41.2,35.4,55,30.9,0.456204379562044
"1353",1,3,43.8,33.8,46,41,0.510948905109489
"1354",2,3,48.3,45.7,54,41,0.394160583941606
"1355",3,3,45.2,41.9,51.1,43,0.470802919708029
"1356",4,3,45.4,42.5,48.9,42.8,0.408759124087591
"1357",5,3,47,37,54,39,0.525547445255474
"1358",6,3,40,21.4,54,35.1,0.145985401459854
"1360",1,3,37.4,32,43,34,0.427007299270073
"1361",2,3,40.8,23.9,45,35.1,0.467153284671533
"1362",3,3,48.6,40.2,53.1,43,0.441605839416058
"1363",4,3,45.1,38.1,54,42.1,0.492700729927007
"1364",5,3,50.8,48.5,55.9,42.1,0.167883211678832
"1365",6,3,44.8,37.6,55.9,36,0.109489051094891
"1367",1,3,45.1,41.4,55,37,0.576642335766423
"1368",2,3,48.6,34.9,55,41,0.667883211678832
"1369",3,3,43.4,24.8,55,37.9,0.547445255474453
"1370",4,3,51,44.6,59,37.9,0.554744525547445
