"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,47.4,41.6,0.0830945558739255
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,35,23.4,0.292263610315186
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,39.4,32.9,0.297994269340974
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,39,30.2,0.567335243553009
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,43.8,42.4,0.157593123209169
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,27.4,11.7,0.524355300859599
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,36.3,30.8,0.489971346704871
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,44.4,39.6,0.326647564469914
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,34.9,21.2,0.515759312320917
"10",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,28.6,13.4,0.699140401146132
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,23.1,3.7,0.343839541547278
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,32.8,22.5,0.868194842406877
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,29.4,18.7,0.624641833810888
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.3,23.1,0.512893982808023
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,29.4,15,0.532951289398281
"16",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,33.2,28.1,0.561604584527221
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,34.5,29.7,0.226361031518625
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,43.2,42.4,0.0315186246418338
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,13.7,6.3,0.0343839541547278
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,15.8,-2.3,0.650429799426934
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.6,23.8,0.438395415472779
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,46.5,44.7,0.550143266475645
"23",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,37,28.5,0.762177650429799
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,30.5,15.4,0.3810888252149
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,35.1,28.2,0.128939828080229
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,35.7,27.3,0.472779369627507
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,33.8,23.7,0.805157593123209
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,36.8,29.5,0.659025787965616
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,15.7,1.9,0.575931232091691
"30",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,17.6,-1.7,0.71919770773639
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,23.5,10.5,0.507163323782235
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,35.4,28,0.263610315186246
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,39.7,36.7,0.71919770773639
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,43,42.1,0.487106017191977
