"","Apr","Aug","Feb","Jan","Jul","Jun","Mar","May","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"57",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,44.5,42.8,0.523529411764706
"58",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,44.6,39.4,0.717647058823529
"59",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,36.4,17.4,0.641176470588235
"60",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,34.1,16.6,0.533823529411765
"61",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,28.7,11.6,0.485294117647059
"62",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,36.3,24,0.689705882352941
"63",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,46.4,41.6,0.672058823529412
"64",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,46.7,39.6,0.658823529411765
"65",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,43.5,30.3,0.639705882352941
"66",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,40,32.5,0.852941176470588
"67",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,34.3,24.3,0.620588235294118
"68",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,38.6,22.8,0.463235294117647
"69",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,44.7,38.2,0.664705882352941
"70",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,46.3,41.4,0.523529411764706
"71",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,47.2,39.3,0.558823529411765
"72",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,40.6,35.3,0.532352941176471
"73",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,46.4,43.3,0.673529411764706
"74",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,45.3,32.8,0.407352941176471
"75",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,42.6,26.1,0.35
"76",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,34,21.9,0.419117647058824
"77",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,40,34.9,0.413235294117647
"78",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,43.9,34.2,0.3
"79",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,45,42.7,0.358823529411765
"80",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,46.2,45,0.311764705882353
"81",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,45.9,34.4,0.211764705882353
"82",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,33.7,19.6,0.0676470588235294
"83",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,36,26.9,0.194117647058824
"84",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,43.3,39.7,0.157352941176471
"85",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2020,41,34.3,0.110294117647059
"86",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2020,41.2,33.6,0.138235294117647
"87",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2020,47.6,36.5,0.15
"88",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2020,42.3,33,0.132352941176471
"89",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2020,44.8,41.2,0.0779411764705882
"90",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2020,44.7,42.2,0.104411764705882
"91",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2020,39.4,32.1,0.0941176470588235
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,39.9,30.6,0.0897058823529412
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,42,38,0.107352941176471
"94",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,43.7,41.9,0.142647058823529
"95",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,42.3,38.4,0.0911764705882353
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,41.8,36.3,0
"97",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,46.7,37.8,0.0485294117647059
